,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Soma,Divsqmax,Divsqmin,Divmedia
29,159.0,16.0,9.0,50.0,58.0,11.0,35.0,179.0,0.518840579710145,8.523809523809524,1.028057046674552
30,163.0,41.0,56.0,27.0,36.0,53.0,8.0,221.0,0.6405797101449275,10.523809523809524,1.2692771358384134
31,165.0,39.0,56.0,19.0,23.0,10.0,35.0,182.0,0.527536231884058,8.666666666666666,1.0452870530433993
32,167.0,1.0,38.0,48.0,28.0,11.0,33.0,159.0,0.4608695652173913,7.571428571428571,0.9131903375489037
33,171.0,54.0,27.0,4.0,43.0,40.0,46.0,214.0,0.6202898550724638,10.19047619047619,1.2290737876444364
34,173.0,29.0,28.0,49.0,17.0,42.0,50.0,215.0,0.6231884057971014,10.238095238095237,1.2348171231007188
35,178.0,5.0,27.0,19.0,26.0,15.0,33.0,125.0,0.36231884057971014,5.9523809523809526,0.7179169320353016
36,188.0,34.0,42.0,43.0,46.0,27.0,17.0,209.0,0.6057971014492753,9.952380952380953,1.2003571103630244
37,191.0,58.0,5.0,41.0,3.0,1.0,23.0,131.0,0.37971014492753624,6.238095238095238,0.7523769447729961
38,195.0,17.0,3.0,44.0,37.0,9.0,32.0,142.0,0.4115942028985507,6.761904761904762,0.8155536347921026
39,199.0,52.0,37.0,57.0,16.0,10.0,50.0,222.0,0.6434782608695652,10.571428571428571,1.2750204712946958
40,200.0,12.0,15.0,44.0,34.0,51.0,19.0,175.0,0.5072463768115942,8.333333333333334,1.0050837048494223
41,201.0,55.0,22.0,5.0,30.0,35.0,20.0,167.0,0.48405797101449277,7.9523809523809526,0.959137021199163
42,205.0,26.0,32.0,54.0,43.0,46.0,40.0,241.0,0.6985507246376812,11.476190476190476,1.3841438449640615
43,213.0,3.0,30.0,9.0,35.0,23.0,32.0,132.0,0.3826086956521739,6.285714285714286,0.7581202802292786
44,216.0,35.0,42.0,59.0,18.0,30.0,14.0,198.0,0.5739130434782609,9.428571428571429,1.1371804203439178
45,218.0,54.0,40.0,42.0,17.0,47.0,12.0,212.0,0.6144927536231884,10.095238095238095,1.2175871167318717
46,220.0,36.0,53.0,55.0,13.0,60.0,14.0,231.0,0.6695652173913044,11.0,1.3267104904012375
47,226.0,2.0,50.0,59.0,38.0,49.0,1.0,199.0,0.5768115942028985,9.476190476190476,1.1429237558002001
48,229.0,39.0,45.0,11.0,21.0,33.0,13.0,162.0,0.46956521739130436,7.714285714285714,0.930420343917751
49,233.0,45.0,3.0,24.0,36.0,7.0,32.0,147.0,0.4260869565217391,7.0,0.8442703120735148
50,238.0,15.0,9.0,41.0,13.0,37.0,42.0,157.0,0.45507246376811594,7.476190476190476,0.9017036666363388
51,239.0,33.0,21.0,44.0,46.0,47.0,6.0,197.0,0.5710144927536231,9.380952380952381,1.1314370848876354
52,245.0,44.0,51.0,27.0,53.0,8.0,60.0,243.0,0.7043478260869566,11.571428571428571,1.3956305158766265
53,252.0,17.0,54.0,4.0,51.0,32.0,26.0,184.0,0.5333333333333333,8.761904761904763,1.056773723955964
