,Concurso,1ª Dezena,2ª Dezena,3ª Dezena,4ª Dezena,5ª Dezena,6ª Dezena,Ganhadores_Sena,Rateio_Sena
519,487.0,25.0,22.0,48.0,52.0,54.0,8.0,2.0,467702.34
523,490.0,5.0,11.0,29.0,54.0,23.0,58.0,1.0,11070173.5
524,491.0,22.0,43.0,15.0,55.0,9.0,1.0,1.0,849344.26
532,499.0,59.0,1.0,11.0,5.0,44.0,4.0,1.0,8698099.22
533,500.0,35.0,21.0,54.0,29.0,38.0,36.0,1.0,9394248.83
535,502.0,50.0,7.0,33.0,21.0,24.0,13.0,2.0,730915.33
541,507.0,44.0,58.0,5.0,27.0,33.0,3.0,2.0,1963484.53
545,510.0,30.0,45.0,58.0,1.0,4.0,41.0,2.0,4252983.06
548,512.0,8.0,40.0,58.0,4.0,53.0,31.0,3.0,653828.5
562,524.0,47.0,29.0,34.0,48.0,19.0,41.0,1.0,42794697.56
563,525.0,26.0,32.0,24.0,49.0,8.0,10.0,2.0,10208722.99
568,529.0,56.0,45.0,13.0,33.0,38.0,1.0,15.0,348732.75
587,534.0,48.0,57.0,23.0,8.0,31.0,3.0,1.0,15184658.12
588,535.0,49.0,14.0,47.0,56.0,6.0,28.0,1.0,7834139.14
590,537.0,37.0,3.0,19.0,34.0,39.0,7.0,1.0,2054340.05
594,541.0,58.0,57.0,27.0,13.0,49.0,52.0,1.0,9144543.5
596,543.0,35.0,54.0,37.0,42.0,49.0,46.0,1.0,1836749.58
598,545.0,43.0,35.0,57.0,29.0,40.0,17.0,1.0,6409645.53
600,547.0,4.0,59.0,13.0,53.0,28.0,30.0,1.0,1746857.35
608,555.0,49.0,5.0,23.0,33.0,45.0,31.0,1.0,23810057.19
612,559.0,53.0,25.0,36.0,13.0,17.0,6.0,1.0,3707152.54
622,569.0,32.0,15.0,14.0,9.0,3.0,57.0,1.0,46663532.7
628,575.0,18.0,29.0,21.0,48.0,35.0,5.0,2.0,25737016.52
632,578.0,48.0,3.0,58.0,18.0,56.0,23.0,1.0,3982872.62
633,579.0,15.0,34.0,39.0,17.0,4.0,9.0,1.0,1175432.13
635,581.0,30.0,25.0,52.0,14.0,39.0,17.0,1.0,11781320.02
639,585.0,24.0,39.0,12.0,33.0,57.0,36.0,1.0,10166807.68
652,598.0,5.0,16.0,53.0,38.0,50.0,34.0,2.0,23179951.19
658,603.0,4.0,8.0,11.0,29.0,12.0,44.0,1.0,24750883.61
661,606.0,41.0,6.0,23.0,55.0,32.0,35.0,1.0,11878491.65
672,617.0,25.0,5.0,49.0,36.0,33.0,3.0,2.0,17791387.59
680,624.0,39.0,23.0,34.0,52.0,8.0,43.0,1.0,22375180.08
684,628.0,8.0,16.0,22.0,56.0,58.0,30.0,1.0,17373966.13
685,629.0,40.0,47.0,39.0,16.0,51.0,15.0,1.0,1104456.38
687,631.0,1.0,28.0,47.0,20.0,44.0,32.0,1.0,10579247.17
697,641.0,17.0,13.0,33.0,9.0,1.0,34.0,1.0,31923289.19
703,647.0,56.0,19.0,11.0,14.0,12.0,54.0,1.0,17603353.15
704,648.0,5.0,48.0,23.0,42.0,45.0,29.0,3.0,361199.61
712,654.0,10.0,11.0,56.0,40.0,41.0,6.0,1.0,15767596.35
715,657.0,20.0,59.0,58.0,33.0,60.0,16.0,1.0,11354235.39
725,667.0,5.0,23.0,16.0,4.0,49.0,1.0,1.0,34263173.55
727,669.0,7.0,41.0,24.0,40.0,49.0,27.0,1.0,2170216.15
737,679.0,37.0,21.0,54.0,3.0,58.0,25.0,1.0,51890452.61
743,685.0,33.0,27.0,5.0,56.0,12.0,43.0,1.0,44331219.78
754,696.0,37.0,16.0,34.0,57.0,53.0,9.0,2.0,19251302.49
766,707.0,51.0,8.0,1.0,43.0,10.0,36.0,2.0,19919975.72
775,715.0,54.0,36.0,12.0,4.0,33.0,24.0,3.0,10825809.33
778,716.0,29.0,2.0,7.0,50.0,16.0,32.0,1.0,945382.75
787,725.0,49.0,9.0,3.0,35.0,37.0,41.0,2.0,15815987.63
792,729.0,33.0,56.0,18.0,57.0,43.0,5.0,1.0,4969519.9
797,734.0,44.0,45.0,27.0,29.0,43.0,54.0,1.0,16726569.98
803,740.0,29.0,47.0,12.0,50.0,16.0,28.0,1.0,26132814.65
809,746.0,49.0,12.0,10.0,57.0,25.0,1.0,2.0,6995681.58
817,753.0,59.0,35.0,43.0,22.0,7.0,2.0,1.0,17388228.32
828,764.0,7.0,3.0,55.0,47.0,53.0,45.0,1.0,40539530.9
832,768.0,33.0,37.0,59.0,30.0,4.0,8.0,1.0,21024430.31
838,774.0,37.0,5.0,54.0,58.0,46.0,10.0,1.0,16319071.08
847,783.0,43.0,21.0,48.0,8.0,4.0,32.0,1.0,28244624.32
849,785.0,35.0,5.0,37.0,8.0,48.0,17.0,1.0,9770979.43
855,791.0,42.0,35.0,19.0,9.0,14.0,58.0,1.0,12212213.94
868,804.0,13.0,59.0,37.0,56.0,3.0,47.0,1.0,34172202.25
875,811.0,32.0,57.0,28.0,41.0,10.0,47.0,2.0,14597902.39
885,820.0,17.0,45.0,32.0,21.0,10.0,46.0,2.0,13046320.38
898,832.0,17.0,49.0,15.0,33.0,39.0,23.0,1.0,52807317.17
900,834.0,44.0,10.0,17.0,16.0,51.0,34.0,1.0,2820323.56
903,837.0,16.0,5.0,24.0,34.0,6.0,60.0,1.0,25067473.09
913,847.0,42.0,14.0,44.0,27.0,15.0,48.0,1.0,40484388.84
914,848.0,56.0,34.0,17.0,32.0,47.0,27.0,1.0,1351049.04
917,851.0,16.0,32.0,35.0,58.0,19.0,3.0,3.0,4966312.44
926,858.0,31.0,37.0,54.0,23.0,4.0,18.0,2.0,8889537.74
930,861.0,42.0,40.0,60.0,59.0,47.0,39.0,1.0,10840760.96
931,862.0,19.0,35.0,12.0,2.0,11.0,8.0,1.0,1152211.3
938,869.0,29.0,42.0,50.0,51.0,49.0,27.0,1.0,16192436.64
944,875.0,53.0,18.0,36.0,58.0,24.0,20.0,1.0,26631943.24
951,882.0,42.0,45.0,44.0,60.0,41.0,17.0,1.0,21492982.24
957,888.0,50.0,24.0,40.0,54.0,52.0,60.0,1.0,18947548.96
967,898.0,4.0,8.0,3.0,54.0,45.0,30.0,2.0,27782053.83
970,900.0,4.0,21.0,59.0,18.0,38.0,34.0,1.0,23334752.92
975,905.0,4.0,15.0,57.0,55.0,2.0,16.0,1.0,18405503.18
976,906.0,35.0,39.0,29.0,24.0,7.0,14.0,1.0,1583115.71
981,911.0,49.0,46.0,1.0,29.0,6.0,28.0,1.0,15981772.55
983,913.0,30.0,14.0,59.0,36.0,46.0,38.0,1.0,2915782.13
985,915.0,20.0,28.0,49.0,26.0,17.0,48.0,1.0,9448268.16
995,925.0,52.0,37.0,46.0,8.0,22.0,36.0,1.0,40628613.64
998,928.0,32.0,10.0,49.0,60.0,4.0,33.0,1.0,5077029.42
1002,932.0,2.0,21.0,42.0,53.0,36.0,17.0,1.0,19685655.01
1006,936.0,5.0,33.0,14.0,29.0,44.0,22.0,2.0,8699137.89
1014,943.0,47.0,41.0,58.0,3.0,23.0,12.0,1.0,20498366.41
1018,947.0,33.0,11.0,3.0,58.0,14.0,5.0,1.0,16035424.27
1024,953.0,55.0,48.0,1.0,39.0,16.0,42.0,1.0,20509951.37
1026,955.0,35.0,5.0,32.0,21.0,33.0,12.0,2.0,5678963.92
1028,956.0,46.0,51.0,47.0,59.0,54.0,57.0,1.0,1385109.95
1030,958.0,13.0,22.0,7.0,33.0,51.0,48.0,3.0,978205.14
1036,962.0,2.0,48.0,49.0,40.0,55.0,11.0,1.0,13272508.39
1043,969.0,56.0,35.0,50.0,13.0,41.0,25.0,1.0,21823614.22
1044,970.0,57.0,34.0,5.0,54.0,28.0,21.0,3.0,3712467.76
1048,972.0,33.0,18.0,15.0,56.0,31.0,34.0,3.0,912435.75
1055,977.0,17.0,3.0,9.0,32.0,7.0,5.0,1.0,16584111.63
1061,983.0,38.0,45.0,40.0,16.0,32.0,22.0,1.0,24038180.79
1068,990.0,29.0,18.0,2.0,15.0,10.0,39.0,2.0,26586140.51
1075,996.0,21.0,23.0,20.0,7.0,29.0,15.0,2.0,14458257.67
1082,1002.0,3.0,31.0,7.0,25.0,40.0,58.0,1.0,24880988.57
1083,1003.0,10.0,27.0,23.0,5.0,16.0,26.0,1.0,1609524.9
1085,1005.0,6.0,41.0,4.0,37.0,12.0,42.0,1.0,12989451.54
1086,1006.0,48.0,17.0,4.0,33.0,55.0,2.0,1.0,1675260.09
1089,1009.0,34.0,12.0,1.0,6.0,58.0,29.0,2.0,2591825.61
1094,1013.0,7.0,9.0,20.0,41.0,12.0,19.0,1.0,15668367.92
1097,1016.0,11.0,9.0,25.0,5.0,60.0,20.0,1.0,13814409.97
1102,1021.0,42.0,55.0,51.0,43.0,2.0,33.0,1.0,17819642.97
1110,1029.0,17.0,5.0,16.0,24.0,20.0,32.0,1.0,32271347.11
1112,1031.0,49.0,33.0,24.0,40.0,46.0,43.0,1.0,19067463.74
1117,1036.0,27.0,39.0,36.0,10.0,41.0,52.0,1.0,44550370.27
1122,1041.0,12.0,10.0,36.0,54.0,44.0,57.0,1.0,29372147.91
1127,1046.0,57.0,40.0,28.0,42.0,54.0,55.0,1.0,23031543.81
1129,1048.0,57.0,3.0,38.0,21.0,28.0,16.0,1.0,3901088.76
1130,1049.0,34.0,17.0,52.0,5.0,2.0,29.0,1.0,1636050.81
1133,1052.0,8.0,11.0,16.0,15.0,57.0,52.0,1.0,14557865.34
1134,1053.0,15.0,42.0,27.0,53.0,34.0,49.0,1.0,1629650.34
1136,1055.0,27.0,32.0,15.0,12.0,20.0,16.0,2.0,5273833.35
1138,1056.0,38.0,8.0,50.0,53.0,59.0,6.0,1.0,1872397.32
1140,1058.0,20.0,51.0,57.0,45.0,24.0,18.0,1.0,3671709.67
1141,1059.0,37.0,1.0,14.0,45.0,12.0,16.0,1.0,1600783.97
1142,1060.0,1.0,41.0,3.0,18.0,16.0,42.0,1.0,8287163.48
1151,1069.0,28.0,17.0,49.0,53.0,45.0,9.0,1.0,36400425.15
1152,1070.0,41.0,53.0,8.0,23.0,5.0,16.0,2.0,8120833.45
1160,1077.0,11.0,6.0,18.0,5.0,37.0,9.0,2.0,14486088.42
1163,1079.0,36.0,12.0,37.0,24.0,5.0,28.0,1.0,4033499.58
1170,1086.0,45.0,4.0,6.0,23.0,10.0,2.0,4.0,13904065.2
1181,1094.0,10.0,9.0,48.0,36.0,41.0,21.0,1.0,55863193.02
1184,1097.0,21.0,48.0,33.0,1.0,56.0,17.0,1.0,34907671.59
1185,1098.0,30.0,20.0,21.0,11.0,50.0,52.0,1.0,2656519.77
1188,1101.0,7.0,12.0,57.0,6.0,24.0,10.0,1.0,22310116.55
1192,1105.0,43.0,1.0,50.0,28.0,57.0,15.0,1.0,21878202.24
1197,1110.0,26.0,45.0,6.0,28.0,42.0,14.0,2.0,12343077.59
1199,1111.0,4.0,43.0,25.0,9.0,33.0,32.0,1.0,2100928.15
1201,1113.0,47.0,36.0,29.0,59.0,3.0,6.0,2.0,2321158.61
1203,1114.0,16.0,3.0,22.0,54.0,25.0,15.0,1.0,2310563.74
1205,1116.0,17.0,20.0,4.0,47.0,9.0,13.0,1.0,14545870.49
1210,1121.0,18.0,4.0,59.0,54.0,56.0,17.0,1.0,22023474.44
1214,1125.0,7.0,42.0,56.0,29.0,33.0,3.0,1.0,19093732.19
1216,1127.0,24.0,8.0,14.0,5.0,29.0,30.0,3.0,1463875.35
1219,1128.0,60.0,8.0,39.0,52.0,24.0,16.0,1.0,1903809.92
1224,1133.0,16.0,5.0,58.0,39.0,10.0,21.0,1.0,23878446.59
1226,1135.0,5.0,4.0,19.0,39.0,6.0,23.0,1.0,16270571.71
1231,1140.0,49.0,58.0,40.0,46.0,10.0,27.0,2.0,72450747.46
1237,1145.0,19.0,3.0,60.0,33.0,24.0,16.0,1.0,14836725.73
1249,1157.0,46.0,9.0,43.0,41.0,49.0,29.0,4.0,18179694.01
1255,1160.0,40.0,5.0,3.0,48.0,1.0,18.0,1.0,29887804.73
1264,1169.0,14.0,1.0,11.0,23.0,42.0,48.0,1.0,46206248.49
1265,1170.0,46.0,11.0,27.0,34.0,49.0,13.0,1.0,19095125.12
1272,1177.0,33.0,52.0,55.0,47.0,38.0,50.0,1.0,32015488.03
1278,1183.0,12.0,5.0,10.0,20.0,29.0,37.0,4.0,8393631.32
1284,1186.0,41.0,12.0,15.0,7.0,13.0,8.0,1.0,21726964.78
1288,1190.0,11.0,53.0,56.0,37.0,10.0,19.0,2.0,9806336.06
1294,1195.0,27.0,17.0,57.0,26.0,55.0,20.0,1.0,20642817.77
1299,1200.0,10.0,3.0,39.0,54.0,56.0,11.0,1.0,21815376.29
1310,1211.0,36.0,54.0,3.0,31.0,15.0,48.0,7.0,13217564.89
1325,1220.0,48.0,55.0,52.0,43.0,5.0,15.0,1.0,119142144.27
1329,1224.0,41.0,19.0,57.0,53.0,21.0,27.0,1.0,13344577.42
1330,1225.0,32.0,55.0,34.0,31.0,50.0,40.0,1.0,24970852.82
1332,1227.0,35.0,31.0,4.0,30.0,54.0,28.0,1.0,5445377.96
1336,1231.0,20.0,27.0,49.0,5.0,23.0,39.0,1.0,22383261.66
1342,1237.0,26.0,21.0,39.0,5.0,18.0,59.0,1.0,30150521.09
1350,1245.0,34.0,10.0,37.0,50.0,43.0,2.0,4.0,48598800.01
1357,1249.0,3.0,40.0,8.0,53.0,51.0,36.0,1.0,11177972.67
1365,1257.0,27.0,15.0,30.0,52.0,26.0,2.0,2.0,26211767.61
1371,1262.0,11.0,39.0,9.0,5.0,8.0,7.0,2.0,16677746.77
1379,1269.0,51.0,5.0,27.0,4.0,15.0,17.0,2.0,19413790.51
1387,1276.0,9.0,40.0,5.0,22.0,36.0,11.0,2.0,35704303.03
1393,1281.0,36.0,14.0,30.0,38.0,11.0,8.0,1.0,34943738.22
1401,1289.0,13.0,8.0,27.0,1.0,3.0,52.0,2.0,26440275.46
1408,1295.0,20.0,2.0,43.0,15.0,5.0,57.0,1.0,73451540.26
1411,1298.0,60.0,14.0,53.0,30.0,15.0,55.0,1.0,9047534.6
1413,1300.0,46.0,43.0,59.0,54.0,44.0,53.0,2.0,9484391.42
1415,1301.0,16.0,25.0,3.0,51.0,23.0,56.0,1.0,2751015.4
1421,1307.0,10.0,47.0,54.0,7.0,43.0,32.0,1.0,32075789.45
1429,1315.0,27.0,29.0,1.0,50.0,52.0,38.0,1.0,63981675.84
1430,1316.0,48.0,34.0,25.0,42.0,13.0,8.0,1.0,2824002.29
1435,1321.0,51.0,59.0,47.0,10.0,60.0,53.0,1.0,31071213.53
1442,1328.0,43.0,27.0,59.0,53.0,23.0,10.0,1.0,45390782.32
1445,1331.0,24.0,46.0,39.0,57.0,26.0,9.0,1.0,29215205.37
1446,1332.0,5.0,13.0,3.0,24.0,35.0,59.0,1.0,2963357.08
1449,1335.0,49.0,3.0,51.0,20.0,22.0,14.0,1.0,21885288.49
1450,1336.0,51.0,54.0,32.0,1.0,38.0,47.0,1.0,3086420.09
1452,1338.0,19.0,33.0,18.0,43.0,60.0,1.0,1.0,5448452.03
1458,1344.0,19.0,42.0,8.0,36.0,21.0,59.0,3.0,12497169.8
1462,1346.0,59.0,47.0,32.0,48.0,40.0,12.0,1.0,24409476.19
1465,1349.0,9.0,19.0,20.0,50.0,60.0,51.0,1.0,7099412.95
1466,1350.0,4.0,36.0,29.0,55.0,45.0,3.0,5.0,35523497.52
1473,1353.0,47.0,11.0,3.0,27.0,32.0,13.0,1.0,8311160.99
1474,1354.0,2.0,42.0,8.0,49.0,48.0,38.0,1.0,2815977.4
1480,1360.0,50.0,25.0,17.0,16.0,54.0,2.0,2.0,22673254.06
1483,1362.0,58.0,19.0,12.0,22.0,2.0,36.0,3.0,1924196.22
1489,1366.0,59.0,44.0,54.0,37.0,27.0,12.0,1.0,22902720.55
1491,1368.0,10.0,26.0,29.0,38.0,32.0,21.0,1.0,4873830.43
1493,1370.0,2.0,27.0,59.0,49.0,4.0,5.0,2.0,7499281.75
1497,1373.0,52.0,39.0,7.0,27.0,55.0,57.0,1.0,8520148.41
1499,1375.0,25.0,28.0,53.0,45.0,14.0,58.0,2.0,7822077.02
1502,1377.0,25.0,5.0,13.0,12.0,35.0,2.0,1.0,5600981.17
1506,1381.0,44.0,30.0,27.0,11.0,40.0,57.0,1.0,22817234.34
1509,1384.0,56.0,18.0,31.0,2.0,30.0,45.0,2.0,4030007.03
1511,1385.0,42.0,37.0,35.0,27.0,59.0,36.0,1.0,13402970.05
1515,1389.0,1.0,44.0,39.0,16.0,57.0,28.0,1.0,13488668.85
1516,1390.0,29.0,27.0,19.0,4.0,28.0,31.0,2.0,6920519.93
1520,1393.0,44.0,28.0,18.0,24.0,4.0,39.0,1.0,8139697.37
1526,1399.0,39.0,43.0,60.0,57.0,34.0,56.0,2.0,19136470.53
1529,1401.0,12.0,11.0,54.0,33.0,48.0,25.0,1.0,25157779.26
1533,1405.0,14.0,17.0,32.0,37.0,39.0,3.0,1.0,27622910.73
1539,1411.0,32.0,44.0,12.0,8.0,48.0,46.0,2.0,21505646.36
1541,1412.0,6.0,8.0,37.0,24.0,45.0,41.0,1.0,3288513.09
1545,1416.0,49.0,3.0,19.0,35.0,22.0,24.0,2.0,14192091.49
1547,1417.0,12.0,56.0,5.0,52.0,45.0,59.0,4.0,773932.3
1554,1421.0,31.0,39.0,59.0,19.0,53.0,44.0,1.0,27700609.77
1555,1422.0,17.0,44.0,2.0,5.0,13.0,39.0,1.0,2662243.82
1556,1423.0,43.0,8.0,21.0,27.0,3.0,25.0,3.0,729819.96
1560,1425.0,7.0,29.0,50.0,16.0,38.0,36.0,1.0,17534538.97
1563,1428.0,15.0,55.0,37.0,34.0,19.0,7.0,1.0,8826040.59
1568,1433.0,14.0,46.0,40.0,13.0,4.0,52.0,1.0,33905517.49
1569,1434.0,3.0,34.0,58.0,22.0,18.0,55.0,2.0,1352380.47
1574,1438.0,49.0,7.0,33.0,31.0,36.0,14.0,2.0,19240377.33
1577,1440.0,6.0,28.0,56.0,2.0,36.0,51.0,1.0,24405605.1
1582,1445.0,41.0,32.0,19.0,58.0,5.0,49.0,1.0,33883410.57
1583,1446.0,13.0,32.0,6.0,51.0,40.0,24.0,1.0,2639040.77
1592,1455.0,33.0,14.0,52.0,36.0,32.0,41.0,3.0,81594699.72
1598,1459.0,2.0,6.0,35.0,30.0,52.0,34.0,1.0,13246202.09
1601,1462.0,5.0,9.0,25.0,40.0,38.0,27.0,1.0,22470803.48
1605,1466.0,4.0,13.0,51.0,37.0,6.0,34.0,1.0,29873254.83
1606,1467.0,41.0,53.0,26.0,23.0,52.0,24.0,1.0,3097080.96
1607,1468.0,2.0,20.0,37.0,19.0,1.0,10.0,1.0,1542491.77
1609,1470.0,2.0,34.0,51.0,36.0,38.0,55.0,2.0,9438162.39
1614,1474.0,2.0,43.0,11.0,1.0,3.0,28.0,1.0,14742572.93
1615,1475.0,13.0,12.0,51.0,37.0,48.0,44.0,1.0,16179244.6
1620,1480.0,9.0,14.0,26.0,36.0,52.0,21.0,1.0,31618202.79
1626,1486.0,10.0,1.0,34.0,54.0,6.0,40.0,1.0,37137524.71
1628,1488.0,4.0,51.0,45.0,22.0,38.0,25.0,1.0,6092267.98
1629,1489.0,48.0,15.0,24.0,28.0,1.0,26.0,1.0,2867241.35
1632,1492.0,48.0,44.0,46.0,4.0,18.0,9.0,1.0,26460707.33
1633,1493.0,30.0,24.0,12.0,49.0,7.0,27.0,2.0,1471764.39
1640,1499.0,26.0,37.0,8.0,22.0,54.0,33.0,1.0,43036617.07
